#{"date_testbegin_datetime": "13.07.2023 15:01:10", "test_id": "05-02", "cell_id": "22-14-083"}
frequency_Hz,z_real_Ohm,z_imag_Ohm,phi_deg
100019.5,0.0026129,0.0135349,79.07355
79511.72,0.002478,0.0108523,77.1377
63105.47,0.0023633,0.0086826,74.774
50214.84,0.0022622,0.0069617,71.9982
39902.34,0.0021744,0.00557,68.6756
31699.22,0.0020999,0.0044393,64.68497
25136.72,0.0020416,0.0035165,59.86094
19980.47,0.002001,0.0027721,54.17625
15878.91,0.0019777,0.0021625,47.55568
12597.66,0.0019693,0.0016578,40.09133
10019.53,0.0019737,0.0012505,32.35836
7928.241,0.0019941,0.000909,24.50413
6307.871,0.0020253,0.0006312,17.3096
5034.722,0.0020666,0.0004065,11.12837
3993.056,0.0021146,0.000215,5.805216
3144.055,0.0021715,5.03215e-05,1.327515
2519.531,0.0022301,-7.876591e-05,-2.022776
2000.762,0.0022974,-0.0001945,-4.839215
1580.669,0.0023717,-0.0002975,-7.148957
1253.634,0.0024536,-0.0003861,-8.941869
1000.702,0.0025373,-0.0004631,-10.34385
790.0281,0.0026367,-0.0005351,-11.47269
628.811,0.0027396,-0.0005901,-12.1551
502.2321,0.0028451,-0.0006413,-12.70269
400.1524,0.0029601,-0.0006837,-13.00595
315.5048,0.0030826,-0.0007197,-13.14122
252.0161,0.0031995,-0.0007442,-13.09469
200.3205,0.0033164,-0.0007631,-12.95792
158.0056,0.0034318,-0.0007774,-12.76351
125.558,0.0035303,-0.0007907,-12.62385
99.734,0.0036203,-0.0008131,-12.65775
79.44915,0.0037104,-0.0008481,-12.87534
62.91946,0.0037907,-0.0009081,-13.47195
49.86702,0.0038569,-0.000997,-14.49333
38.42213,0.0039393,-0.0011456,-16.21568
31.25,0.0040216,-0.0013034,-17.95724
24.93351,0.0041398,-0.0015169,-20.12397
20.03205,0.0042745,-0.0017789,-22.59516
15.625,0.0044914,-0.0021419,-25.49578
12.46675,0.0047641,-0.0025222,-27.89711
9.9734,0.0051327,-0.0029306,-29.72517
7.971939,0.0056176,-0.0033566,-30.85896
6.351626,0.0062563,-0.0037443,-30.9001
5.013369,0.0070583,-0.0040433,-29.80584
3.985969,0.007924,-0.0041882,-27.85866
3.175813,0.008787,-0.0041876,-25.48104
2.516103,0.0096265,-0.0040114,-22.62159
1.99553,0.0103385,-0.0037456,-19.91533
1.587906,0.0109055,-0.0034299,-17.45885
1.258052,0.0113817,-0.0030926,-15.20103
0.997765,0.0117536,-0.002815,-13.46894
0.7927448,0.0120377,-0.0025746,-12.07264
0.6290258,0.012265,-0.0024227,-11.17384
0.4988825,0.0124915,-0.0023478,-10.6447
0.3985969,0.0126855,-0.0023243,-10.38281
0.316723,0.0129032,-0.0023726,-10.41877
0.2514753,0.0131676,-0.002471,-10.62832
0.1999787,0.0134855,-0.0026403,-11.07773
0.1587906,0.0138561,-0.0028548,-11.64177
0.1260081,0.0142985,-0.0031058,-12.25482
0.1001603,0.0147749,-0.0034206,-13.03497
0.0795031,0.0153549,-0.0037938,-13.87843
0.0631398,0.0159616,-0.0042086,-14.77117
0.050123,0.01665,-0.0046286,-15.53561
0.0398326,0.0174579,-0.0050665,-16.18344
0.0316381,0.0183037,-0.005494,-16.70758
0.025126,0.0191802,-0.0059281,-17.17511
0.019957,0.020056,-0.0063974,-17.6916
0.015849,0.0209162,-0.0069184,-18.30266
0.01259,0.021763,-0.0075468,-19.125
0.0100006,0.0225841,-0.0083153,-20.21339
